OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
1597,7-ELEVEN #36156,"I-70 & SR-519, EXIT 25/333",Eighty Four,PA,165,4.999,,
1599,ONVO TRAVEL PLAZA,"I-81, EXIT 10",Mc Graw,NY,220,3.439,,
1599,ONVO TRAVEL PLAZA,"I-81, EXIT 10",Mc Graw,NY,220,3.459,,
1646,SPEEDWAY #8310,US-6  & US-31,Plymouth,IN,465,3.609,41.3379294,-86.3080989
1647,SPEEDWAY #8305,US-41 & SR-312,Hammond,IN,290,3.76566666,41.6284074,-87.5123725
1653,ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,520,3.569,,
1653,ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,520,3.599,41.8513183,-87.620426
1669,BETTY BEAVERS TRUCKSTOP,"I-90, EXIT 28",Fultonville,NY,12,3.149,,
1669,BETTY BEAVERS TRUCKSTOP,"I-90, EXIT 28",Fultonville,NY,12,3.189,,
2194,A AND A TRUCKSTOP,US-35 & CR-41,Jackson,OH,315,3.799,40.3822625,-84.3957779
2196,Certified Oil #400410,I-76 EXIT 43,Ravenna,OH,249,3.31566666,,
2227,SPEEDWAY #7448,SR-59,Naperville,IL,293,3.299,,
2227,SPEEDWAY #7448,SR-59,Naperville,IL,293,3.359,,
2255,S&G #36,"I-280, EXIT 2 & SR-795",Millbury,OH,550,3.49233333,,
2287,SAC SHOP #511,"I-76/I-70, EXIT 146 & I-99/US-220 EXIT 1",Bedford,PA,14,4.099,,
2602,PILOT TRAVEL CENTERS #9,"I-75, EXIT 36",Franklin,OH,407,3.35233333,,
2629,PILOT TRAVEL CENTERS #253,"I-295 & NJ TRNPK,  EXIT 2B",Penns Grove,NJ,243,3.989,,
2640,LITTLE NASHVILLE,"I-64, EXIT 50 & SR-127",Nashville,IL,540,3.399,,
2640,LITTLE NASHVILLE,"I-64, EXIT 50 & SR-127",Nashville,IL,540,3.299,,
2772,PILOT TRAVEL CENTERS #29,"I- 80, EXIT 144; I-69, EXIT 357",Fremont                                 ,IN,465,3.899,,
2772,PILOT TRAVEL CENTER #29,"I- 80, EXIT 144; I-69, EXIT 357",Fremont                                 ,IN,465,3.899,,
2811,KWIK FILL #22,"I-90, EXIT 40 & SR-34/SR-31",Weedsport,NY,220,3.899,,
2895,EAGLE TRUCK STOP,I-77 EXIT 81,New Philadelphia,OH,249,3.31566666,,
